specie,variable,variation,converge,iterations,init_value,final_value,init_point,final_point
R-vdW (F--H2O),R HO,-10,True,35,3.2036184630969657,-3.3712142584158267,"[0.87012, 0.9668, 2.2992, 105.07, 70.54, -83.05]","[  0.96416753   0.96416751   2.29809719 104.34190679  67.11778945
 -87.54029113]"
R-vdW (F--H2O),R HO,-5,True,35,-1.9295491636937196,-3.3712142584190863,"[0.9184599999999999, 0.9668, 2.2992, 105.07, 70.54, -83.05]","[  0.96416754   0.96416751   2.29809649 104.34190258  67.11781919
 -87.5402235 ]"
R-vdW (F--H2O),R HO,0,True,36,-3.2650496245848286,-3.371214258439695,"[0.9668, 0.9668, 2.2992, 105.07, 70.54, -83.05]","[  0.96416754   0.96416751   2.29809694 104.34190979  67.11780297
 -87.5402318 ]"
R-vdW (F--H2O),R HO,5,True,34,-1.8616995241766832,-3.3712142585234126,"[1.01514, 0.9668, 2.2992, 105.07, 70.54, -83.05]","[  0.96416753   0.9641675    2.29809829 104.34191696  67.11772773
 -87.54037601]"
R-vdW (F--H2O),R HO,10,True,37,1.4972931405808276,-3.371214258426562,"[1.06348, 0.9668, 2.2992, 105.07, 70.54, -83.05]","[  0.96416755   0.96416751   2.2980962  104.34190424  67.11783649
 -87.54020163]"
R-vdW (F--H2O),R HO,15,True,39,6.227780826518338,-3.371214258422599,"[1.11182, 0.9668, 2.2992, 105.07, 70.54, -83.05]","[  0.96416753   0.96416751   2.29809703 104.34190572  67.11779529
 -87.54024342]"
R-vdW (F--H2O),R HO,20,True,38,11.890876456513144,-3.3712142584279077,"[1.16016, 0.9668, 2.2992, 105.07, 70.54, -83.05]","[  0.96416755   0.96416751   2.29809633 104.34190376  67.11782568
 -87.54022039]"
R-vdW (F--H2O),R HO,25,True,40,18.154834795971595,-3.371214258458306,"[1.2085, 0.9668, 2.2992, 105.07, 70.54, -83.05]","[  0.96416754   0.96416751   2.29809671 104.34190561  67.11781004
 -87.5402258 ]"
R-vdW (F--H2O),R OH',-25,False,0,0,0,"[0.9668, 0.7251, 2.2992, 105.07, 70.54, -83.05]",[]
R-vdW (F--H2O),R OH',-20,False,0,0,0,"[0.9668, 0.77344, 2.2992, 105.07, 70.54, -83.05]",[]
R-vdW (F--H2O),R OH',-15,True,38,13.547464689082217,-3.3712142584297697,"[0.9668, 0.82178, 2.2992, 105.07, 70.54, -83.05]","[  0.96416754   0.96416751   2.29809652 104.34190652  67.11780931
 -87.54022904]"
R-vdW (F--H2O),R OH',-10,True,35,3.1810175343888263,-3.371214258523131,"[0.9668, 0.87012, 2.2992, 105.07, 70.54, -83.05]","[  0.96416754   0.96416751   2.29809739 104.3419079   67.1177783
 -87.5402621 ]"
R-vdW (F--H2O),R OH',-5,False,0,0,0,"[0.9668, 0.9184599999999999, 2.2992, 105.07, 70.54, -83.05]",[]
R-vdW (F--H2O),R OH',0,True,36,-3.2650496245848286,-3.371214258439695,"[0.9668, 0.9668, 2.2992, 105.07, 70.54, -83.05]","[  0.96416754   0.96416751   2.29809694 104.34190979  67.11780297
 -87.5402318 ]"
R-vdW (F--H2O),R OH',5,True,36,-1.8428266311652057,-3.3712142584911264,"[0.9668, 1.01514, 2.2992, 105.07, 70.54, -83.05]","[  0.96416754   0.96416751   2.2980972  104.34190294  67.11778867
 -87.54025302]"
R-vdW (F--H2O),R OH',10,True,35,1.5416387610610676,-3.371214258438976,"[0.9668, 1.06348, 2.2992, 105.07, 70.54, -83.05]","[  0.96416754   0.96416751   2.29809665 104.34190407  67.11781306
 -87.54022445]"
R-vdW (F--H2O),R OH',15,True,37,6.3047364126435514,-3.371214258430968,"[0.9668, 1.11182, 2.2992, 105.07, 70.54, -83.05]","[  0.96416754   0.96416752   2.29809622 104.34190439  67.11782842
 -87.54021013]"
R-vdW (F--H2O),R OH',20,False,0,0,0,"[0.9668, 1.16016, 2.2992, 105.07, 70.54, -83.05]",[]
R-vdW (F--H2O),R OH',25,True,38,18.318469968977467,-3.3712142584557885,"[0.9668, 1.2085, 2.2992, 105.07, 70.54, -83.05]","[  0.96416753   0.96416751   2.29809724 104.34190718  67.11779053
 -87.5402596 ]"
R-vdW (F--H2O),R H'F,-25,True,39,12.440265228404495,-3.3712142584239917,"[0.9668, 0.9668, 1.7244, 105.07, 70.54, -83.05]","[  0.96416754   0.96416751   2.29809638 104.34190156  67.1178351
 -87.54019339]"
R-vdW (F--H2O),R H'F,-20,True,38,3.4257077825638236,-3.371214258378649,"[0.9668, 0.9668, 1.8393599999999999, 105.07, 70.54, -83.05]","[  0.96416755   0.96416751   2.29809618 104.34190187  67.11783779
 -87.54020217]"
R-vdW (F--H2O),R H'F,-15,True,38,-0.9505730084020321,-3.371214258354678,"[0.9668, 0.9668, 1.9543199999999998, 105.07, 70.54, -83.05]","[  0.96416754   0.96416751   2.29809611 104.34190363  67.1178403
 -87.54019684]"
R-vdW (F--H2O),R H'F,-10,True,38,-2.7496722612963556,-3.3712142583814497,"[0.9668, 0.9668, 2.06928, 105.07, 70.54, -83.05]","[  0.96416754   0.96416751   2.298096   104.34190242  67.11784331
 -87.54019437]"
R-vdW (F--H2O),R H'F,-5,True,37,-3.28478820673705,-3.3712142581236404,"[0.9668, 0.9668, 2.18424, 105.07, 70.54, -83.05]","[  0.96416749   0.96416746   2.29809985 104.34194742  67.11768028
 -87.5405861 ]"
R-vdW (F--H2O),R H'F,0,True,36,-3.2650496245848286,-3.371214258439695,"[0.9668, 0.9668, 2.2992, 105.07, 70.54, -83.05]","[  0.96416754   0.96416751   2.29809694 104.34190979  67.11780297
 -87.5402318 ]"
R-vdW (F--H2O),R H'F,5,False,0,0,0,"[0.9668, 0.9668, 2.41416, 105.07, 70.54, -83.05]",[]
R-vdW (F--H2O),R H'F,10,True,37,-2.707312477276426,-3.3712142584560816,"[0.9668, 0.9668, 2.52912, 105.07, 70.54, -83.05]","[  0.96416754   0.96416751   2.29809692 104.34190744  67.11780123
 -87.54023313]"
R-vdW (F--H2O),R H'F,15,True,37,-2.3902763547376464,-3.3712142582154287,"[0.9668, 0.9668, 2.6440799999999998, 105.07, 70.54, -83.05]","[  0.9641675    0.96416747   2.29809944 104.34193967  67.11769534
 -87.5404981 ]"
R-vdW (F--H2O),R H'F,20,True,36,-2.091422812911921,-3.371214258440502,"[0.9668, 0.9668, 2.7590399999999997, 105.07, 70.54, -83.05]","[  0.96416754   0.96416751   2.2980968  104.34190623  67.11780642
 -87.54023151]"
R-vdW (F--H2O),R H'F,25,True,37,-1.814707199313504,-3.3712142584433114,"[0.9668, 0.9668, 2.8739999999999997, 105.07, 70.54, -83.05]","[  0.96416754   0.96416751   2.29809694 104.34190868  67.11779999
 -87.54023395]"
R-vdW (F--H2O),θ HOH',-25,False,0,0,0,"[0.9668, 0.9668, 2.2992, 78.8025, 70.54, -83.05]",[]
R-vdW (F--H2O),θ HOH',-20,False,0,0,0,"[0.9668, 0.9668, 2.2992, 84.056, 70.54, -83.05]",[]
R-vdW (F--H2O),θ HOH',-15,False,0,0,0,"[0.9668, 0.9668, 2.2992, 89.30949999999999, 70.54, -83.05]",[]
R-vdW (F--H2O),θ HOH',-10,True,37,-1.800267739449607,-3.3712142585070684,"[0.9668, 0.9668, 2.2992, 94.56299999999999, 70.54, -83.05]","[  0.96416754   0.96416751   2.29809716 104.34190825  67.11779535
 -87.54024315]"
R-vdW (F--H2O),θ HOH',-5,True,36,-2.984257841769289,-3.371214258485834,"[0.9668, 0.9668, 2.2992, 99.81649999999999, 70.54, -83.05]","[  0.96416754   0.9641675    2.29809758 104.34190978  67.1177726
 -87.54027849]"
R-vdW (F--H2O),θ HOH',0,True,36,-3.2650496245848286,-3.371214258439695,"[0.9668, 0.9668, 2.2992, 105.07, 70.54, -83.05]","[  0.96416754   0.96416751   2.29809694 104.34190979  67.11780297
 -87.5402318 ]"
R-vdW (F--H2O),θ HOH',5,True,38,-2.7154120753829427,-3.3712142583986493,"[0.9668, 0.9668, 2.2992, 110.3235, 70.54, -83.05]","[  0.96416753   0.9641675    2.29809716 104.34190598  67.11779178
 -87.54025852]"
R-vdW (F--H2O),θ HOH',10,True,37,-1.4144724210899424,-3.371214258458296,"[0.9668, 0.9668, 2.2992, 115.577, 70.54, -83.05]","[  0.96416754   0.96416751   2.2980969  104.34190786  67.11780224
 -87.54023227]"
R-vdW (F--H2O),θ HOH',15,True,34,0.5473709763689364,-3.3712142584346543,"[0.9668, 0.9668, 2.2992, 120.8305, 70.54, -83.05]","[  0.96416754   0.96416751   2.29809689 104.34190599  67.11780268
 -87.54024581]"
R-vdW (F--H2O),θ HOH',20,True,37,3.0671543173773728,-3.3712142584454248,"[0.9668, 0.9668, 2.2992, 126.08399999999999, 70.54, -83.05]","[  0.96416754   0.96416751   2.29809671 104.34190544  67.11781078
 -87.54022466]"
R-vdW (F--H2O),θ HOH',25,True,37,6.029938447432705,-3.371214258411254,"[0.9668, 0.9668, 2.2992, 131.33749999999998, 70.54, -83.05]","[  0.96416754   0.96416751   2.29809679 104.34190447  67.11780679
 -87.54023505]"
R-vdW (F--H2O),θ OH'F,-25,True,37,-0.7809565821311899,-3.3712142583375417,"[0.9668, 0.9668, 2.2992, 105.07, 52.905, -83.05]","[  0.96416754   0.96416751   2.29809604 104.34190959  67.11784446
 -87.54020235]"
R-vdW (F--H2O),θ OH'F,-20,True,36,-2.1141323167106525,-3.37121425835214,"[0.9668, 0.9668, 2.2992, 105.07, 56.432, -83.05]","[  0.96416754   0.96416751   2.29809597 104.34190732  67.11784771
 -87.54020198]"
R-vdW (F--H2O),θ OH'F,-15,True,38,-2.869410869774433,-3.3712142583818063,"[0.9668, 0.9668, 2.2992, 105.07, 59.959, -83.05]","[  0.96416754   0.96416751   2.29809622 104.34190537  67.11783488
 -87.54021396]"
R-vdW (F--H2O),θ OH'F,-10,True,36,-3.229511587580297,-3.371214258328014,"[0.9668, 0.9668, 2.2992, 105.07, 63.486000000000004, -83.05]","[  0.96416754   0.96416751   2.29809598 104.34190851  67.11785078
 -87.54021085]"
R-vdW (F--H2O),θ OH'F,-5,True,37,-3.3293353055077515,-3.3712142583832367,"[0.9668, 0.9668, 2.2992, 105.07, 67.013, -83.05]","[  0.96416754   0.96416751   2.29809605 104.3419042   67.1178423
 -87.54020659]"
R-vdW (F--H2O),θ OH'F,0,True,36,-3.2650496245848286,-3.371214258439695,"[0.9668, 0.9668, 2.2992, 105.07, 70.54, -83.05]","[  0.96416754   0.96416751   2.29809694 104.34190979  67.11780297
 -87.5402318 ]"
R-vdW (F--H2O),θ OH'F,5,True,38,-3.1033447439498487,-3.3712142584046503,"[0.9668, 0.9668, 2.2992, 105.07, 74.06700000000001, -83.05]","[  0.96416754   0.96416751   2.29809619 104.34190188  67.11783549
 -87.54020307]"
R-vdW (F--H2O),θ OH'F,10,False,0,0,0,"[0.9668, 0.9668, 2.2992, 105.07, 77.59400000000001, -83.05]",[]
R-vdW (F--H2O),θ OH'F,15,False,0,0,0,"[0.9668, 0.9668, 2.2992, 105.07, 81.12100000000001, -83.05]",[]
R-vdW (F--H2O),θ OH'F,20,False,0,0,0,"[0.9668, 0.9668, 2.2992, 105.07, 84.64800000000001, -83.05]",[]
R-vdW (F--H2O),θ OH'F,25,True,36,-2.1824504803817804,-3.371214258439685,"[0.9668, 0.9668, 2.2992, 105.07, 88.17500000000001, -83.05]","[  0.96416754   0.96416752   2.29809624 104.34189945  67.11782558
 -87.54019621]"
R-vdW (F--H2O),φ HOH'F,-25,True,37,-2.5286292336989162,-3.371214258398415,"[0.9668, 0.9668, 2.2992, 105.07, 70.54, -62.287499999999994]","[  0.96416754   0.96416751   2.29809609 104.34190314  67.11783669
 -87.54021291]"
R-vdW (F--H2O),φ HOH'F,-20,False,0,0,0,"[0.9668, 0.9668, 2.2992, 105.07, 70.54, -66.44]",[]
R-vdW (F--H2O),φ HOH'F,-15,True,36,-2.9711510006844786,-3.3712142584693847,"[0.9668, 0.9668, 2.2992, 105.07, 70.54, -70.5925]","[  0.96416755   0.96416752   2.29809594 104.34189128  67.11785144
 -87.54020431]"
R-vdW (F--H2O),φ HOH'F,-10,True,37,-3.11325760329403,-3.371214258420384,"[0.9668, 0.9668, 2.2992, 105.07, 70.54, -74.745]","[  0.96416754   0.96416751   2.29809617 104.34190201  67.11784191
 -87.54020449]"
R-vdW (F--H2O),φ HOH'F,-5,True,35,-3.2097426923241774,-3.371214258481867,"[0.9668, 0.9668, 2.2992, 105.07, 70.54, -78.8975]","[  0.96416753   0.9641675    2.29809813 104.3419163   67.11774522
 -87.54030601]"
R-vdW (F--H2O),φ HOH'F,0,True,36,-3.2650496245848286,-3.371214258439695,"[0.9668, 0.9668, 2.2992, 105.07, 70.54, -83.05]","[  0.96416754   0.96416751   2.29809694 104.34190979  67.11780297
 -87.5402318 ]"
R-vdW (F--H2O),φ HOH'F,5,True,36,-3.2833670299022377,-3.3712142585435823,"[0.9668, 0.9668, 2.2992, 105.07, 70.54, -87.2025]","[  0.96416753   0.9641675    2.29809876 104.34192223  67.11770265
 -87.54027716]"
R-vdW (F--H2O),φ HOH'F,10,True,34,-3.268392520441228,-3.3712142583692897,"[0.9668, 0.9668, 2.2992, 105.07, 70.54, -91.35499999999999]","[  0.96416754   0.9641675    2.29809651 104.34190925  67.11781613
 -87.54018994]"
R-vdW (F--H2O),φ HOH'F,15,True,37,-3.2228362270766517,-3.3712142584737923,"[0.9668, 0.9668, 2.2992, 105.07, 70.54, -95.5075]","[  0.96416755   0.96416752   2.29809623 104.34190172  67.11783728
 -87.54021523]"
R-vdW (F--H2O),φ HOH'F,20,False,0,0,0,"[0.9668, 0.9668, 2.2992, 105.07, 70.54, -99.66]",[]
R-vdW (F--H2O),φ HOH'F,25,False,0,0,0,"[0.9668, 0.9668, 2.2992, 105.07, 70.54, -103.8125]",[]
TS,R HO,-25,True,58,63.96035629953839,-22.337468889437226,"[0.727875, 1.0389, 1.3128, 103.0, 121.99, 68.72]","[9.72818777e-01 1.77006948e+00 9.35419848e-01 1.08649715e+02
 1.73615870e+02 6.22990083e-04]"
TS,R HO,-20,True,59,36.312788383425314,-22.337468889520466,"[0.7764, 1.0389, 1.3128, 103.0, 121.99, 68.72]","[9.72818789e-01 1.77006951e+00 9.35419849e-01 1.08649700e+02
 1.73615883e+02 5.07074104e-04]"
TS,R HO,-15,False,0,0,0,"[0.824925, 1.0389, 1.3128, 103.0, 121.99, 68.72]",[]
TS,R HO,-10,True,55,8.138186952720543,-22.33746888945678,"[0.8734500000000001, 1.0389, 1.3128, 103.0, 121.99, 68.72]","[9.72818779e-01 1.77006954e+00 9.35419846e-01 1.08649691e+02
 1.73615860e+02 8.10978887e-05]"
TS,R HO,-5,False,0,0,0,"[0.921975, 1.0389, 1.3128, 103.0, 121.99, 68.72]",[]
TS,R HO,0,True,59,1.402608625051759,-22.33746888951382,"[0.9705, 1.0389, 1.3128, 103.0, 121.99, 68.72]","[9.72818785e-01 1.77006952e+00 9.35419850e-01 1.08649727e+02
 1.73615890e+02 2.94318387e-04]"
TS,R HO,5,False,0,0,0,"[1.019025, 1.0389, 1.3128, 103.0, 121.99, 68.72]",[]
TS,R HO,10,True,61,5.738976161996208,-22.337468889434803,"[1.06755, 1.0389, 1.3128, 103.0, 121.99, 68.72]","[9.72818780e-01 1.77006951e+00 9.35419842e-01 1.08649720e+02
 1.73615879e+02 1.27856066e-04]"
TS,R HO,15,True,63,10.233267413790493,-22.337468889453692,"[1.1160750000000002, 1.0389, 1.3128, 103.0, 121.99, 68.72]","[ 9.72818780e-01  1.77006944e+00  9.35419848e-01  1.08649709e+02
  1.73615891e+02 -2.66782889e-05]"
TS,R HO,20,True,65,15.676830895557806,-22.337468889501203,"[1.1646, 1.0389, 1.3128, 103.0, 121.99, 68.72]","[9.72818785e-01 1.77006949e+00 9.35419850e-01 1.08649723e+02
 1.73615888e+02 4.82090954e-04]"
TS,R HO,25,False,0,0,0,"[1.213125, 1.0389, 1.3128, 103.0, 121.99, 68.72]",[]
TS,R OH',-25,True,58,47.0855210564573,-22.33746888944739,"[0.9705, 0.779175, 1.3128, 103.0, 121.99, 68.72]","[9.72818781e-01 1.77006950e+00 9.35419846e-01 1.08649720e+02
 1.73615875e+02 8.78986918e-04]"
TS,R OH',-20,True,64,26.41325238210686,-22.33746888937393,"[0.9705, 0.83112, 1.3128, 103.0, 121.99, 68.72]","[9.72818773e-01 1.77006947e+00 9.35419840e-01 1.08649711e+02
 1.73615883e+02 7.99441615e-05]"
TS,R OH',-15,True,62,13.520501774323318,-22.337468889471648,"[0.9705, 0.883065, 1.3128, 103.0, 121.99, 68.72]","[9.72818780e-01 1.77006958e+00 9.35419846e-01 1.08649716e+02
 1.73615872e+02 3.99983794e-05]"
TS,R OH',-10,False,0,0,0,"[0.9705, 0.9350099999999999, 1.3128, 103.0, 121.99, 68.72]",[]
TS,R OH',-5,False,0,0,0,"[0.9705, 0.9869549999999999, 1.3128, 103.0, 121.99, 68.72]",[]
TS,R OH',0,True,59,1.402608625051759,-22.33746888951382,"[0.9705, 1.0389, 1.3128, 103.0, 121.99, 68.72]","[9.72818785e-01 1.77006952e+00 9.35419850e-01 1.08649727e+02
 1.73615890e+02 2.94318387e-04]"
TS,R OH',5,True,60,1.9741110236749086,-22.337468889467612,"[0.9705, 1.0908449999999998, 1.3128, 103.0, 121.99, 68.72]","[ 9.72818781e-01  1.77006955e+00  9.35419846e-01  1.08649728e+02
  1.73615885e+02 -2.45858285e-04]"
TS,R OH',10,True,58,3.5052524723857394,-22.337468889443752,"[0.9705, 1.14279, 1.3128, 103.0, 121.99, 68.72]","[9.72818779e-01 1.77006949e+00 9.35419846e-01 1.08649720e+02
 1.73615880e+02 3.44339890e-04]"
TS,R OH',15,True,62,5.617820078365506,-22.337468889442043,"[0.9705, 1.1947349999999999, 1.3128, 103.0, 121.99, 68.72]","[ 9.72818777e-01  1.77006947e+00  9.35419848e-01  1.08649711e+02
  1.73615876e+02 -3.39086937e-04]"
TS,R OH',20,False,0,0,0,"[0.9705, 1.24668, 1.3128, 103.0, 121.99, 68.72]",[]
TS,R OH',25,True,57,9.357866055099855,-22.3374688895074,"[0.9705, 1.298625, 1.3128, 103.0, 121.99, 68.72]","[9.72818786e-01 1.77006949e+00 9.35419849e-01 1.08649712e+02
 1.73615880e+02 3.44729915e-04]"
TS,R H'F,-25,True,61,19.634809588201104,-22.337468889424436,"[0.9705, 1.0389, 0.9845999999999999, 103.0, 121.99, 68.72]","[9.72818779e-01 1.77006948e+00 9.35419843e-01 1.08649722e+02
 1.73615878e+02 1.46101269e-04]"
TS,R H'F,-20,True,60,10.49611615140944,-22.337468889394113,"[0.9705, 1.0389, 1.05024, 103.0, 121.99, 68.72]","[ 9.72818775e-01  1.77006921e+00  9.35419850e-01  1.08649713e+02
  1.73615906e+02 -4.32728832e-04]"
TS,R H'F,-15,False,0,0,0,"[0.9705, 1.0389, 1.11588, 103.0, 121.99, 68.72]",[]
TS,R H'F,-10,False,0,0,0,"[0.9705, 1.0389, 1.18152, 103.0, 121.99, 68.72]",[]
TS,R H'F,-5,True,62,1.2920550001105084,-22.33746888945206,"[0.9705, 1.0389, 1.24716, 103.0, 121.99, 68.72]","[ 9.72818780e-01  1.77006952e+00  9.35419845e-01  1.08649724e+02
  1.73615878e+02 -4.40110984e-04]"
TS,R H'F,0,True,59,1.402608625051759,-22.33746888951382,"[0.9705, 1.0389, 1.3128, 103.0, 121.99, 68.72]","[9.72818785e-01 1.77006952e+00 9.35419850e-01 1.08649727e+02
 1.73615890e+02 2.94318387e-04]"
TS,R H'F,5,True,62,1.8855580177193874,-22.33746888948836,"[0.9705, 1.0389, 1.3784399999999999, 103.0, 121.99, 68.72]","[ 9.72818781e-01  1.77006953e+00  9.35419850e-01  1.08649720e+02
  1.73615905e+02 -1.66929557e-04]"
TS,R H'F,10,True,45,2.394201207684296,-3.3712142584272367,"[0.9705, 1.0389, 1.44408, 103.0, 121.99, 68.72]","[  0.96416755   0.96416751   2.29809613 104.34190448  67.11783703
  87.5401862 ]"
TS,R H'F,15,True,46,2.768001668743848,-3.371214258438344,"[0.9705, 1.0389, 1.50972, 103.0, 121.99, 68.72]","[  0.96416755   0.96416751   2.29809607 104.34190374  67.11783785
  87.54018023]"
TS,R H'F,20,False,0,0,0,"[0.9705, 1.0389, 1.5753599999999999, 103.0, 121.99, 68.72]",[]
TS,R H'F,25,False,0,0,0,"[0.9705, 1.0389, 1.641, 103.0, 121.99, 68.72]",[]
TS,θ HOH',-25,False,0,0,0,"[0.9705, 1.0389, 1.3128, 77.25, 121.99, 68.72]",[]
TS,θ HOH',-20,False,0,0,0,"[0.9705, 1.0389, 1.3128, 82.4, 121.99, 68.72]",[]
TS,θ HOH',-15,False,0,0,0,"[0.9705, 1.0389, 1.3128, 87.55, 121.99, 68.72]",[]
TS,θ HOH',-10,True,58,2.839637217409171,-22.337468889479997,"[0.9705, 1.0389, 1.3128, 92.7, 121.99, 68.72]","[ 9.72818788e-01  1.77006939e+00  9.35419847e-01  1.08649705e+02
  1.73615878e+02 -5.52330771e-04]"
TS,θ HOH',-5,True,64,1.7633652527100994,-22.33746888944287,"[0.9705, 1.0389, 1.3128, 97.85, 121.99, 68.72]","[9.72818778e-01 1.77006946e+00 9.35419847e-01 1.08649720e+02
 1.73615885e+02 7.65072179e-05]"
TS,θ HOH',0,True,59,1.402608625051759,-22.33746888951382,"[0.9705, 1.0389, 1.3128, 103.0, 121.99, 68.72]","[9.72818785e-01 1.77006952e+00 9.35419850e-01 1.08649727e+02
 1.73615890e+02 2.94318387e-04]"
TS,θ HOH',5,False,0,0,0,"[0.9705, 1.0389, 1.3128, 108.15, 121.99, 68.72]",[]
TS,θ HOH',10,False,0,0,0,"[0.9705, 1.0389, 1.3128, 113.3, 121.99, 68.72]",[]
TS,θ HOH',15,True,66,4.058000802747157,-22.337468889466475,"[0.9705, 1.0389, 1.3128, 118.45, 121.99, 68.72]","[ 9.72818783e-01  1.77006947e+00  9.35419847e-01  1.08649720e+02
  1.73615885e+02 -5.74111910e-05]"
TS,θ HOH',20,True,62,5.908248474271142,-22.337468889461316,"[0.9705, 1.0389, 1.3128, 123.6, 121.99, 68.72]","[9.72818781e-01 1.77006948e+00 9.35419847e-01 1.08649714e+02
 1.73615883e+02 1.14631055e-04]"
TS,θ HOH',25,True,64,8.06178100004157,-22.337468889486292,"[0.9705, 1.0389, 1.3128, 128.75, 121.99, 68.72]","[ 9.72818779e-01  1.77006931e+00  9.35419859e-01  1.08649711e+02
  1.73615892e+02 -6.15261668e-04]"
TS,θ OH'F,-25,True,42,19.563601394029693,-3.3712142583815177,"[0.9705, 1.0389, 1.3128, 103.0, 91.49249999999999, 68.72]","[  0.96416755   0.96416751   2.29809598 104.34190306  67.11784335
  87.5401864 ]"
TS,θ OH'F,-20,False,0,0,0,"[0.9705, 1.0389, 1.3128, 103.0, 97.592, 68.72]",[]
TS,θ OH'F,-15,True,44,5.347603227692279,-3.371214258459548,"[0.9705, 1.0389, 1.3128, 103.0, 103.69149999999999, 68.72]","[  0.96416754   0.96416751   2.29809707 104.34190137  67.11779778
  87.5401698 ]"
TS,θ OH'F,-10,True,44,2.7407955023919763,-3.3712142583814324,"[0.9705, 1.0389, 1.3128, 103.0, 109.791, 68.72]","[  0.96416754   0.96416751   2.2980959  104.34191331  67.11782923
  87.54017742]"
TS,θ OH'F,-5,False,0,0,0,"[0.9705, 1.0389, 1.3128, 103.0, 115.89049999999999, 68.72]",[]
TS,θ OH'F,0,True,59,1.402608625051759,-22.33746888951382,"[0.9705, 1.0389, 1.3128, 103.0, 121.99, 68.72]","[9.72818785e-01 1.77006952e+00 9.35419850e-01 1.08649727e+02
 1.73615890e+02 2.94318387e-04]"
